,3V3C,3V3T,3V6C,3V6T,4V3C,4V3T,4V6C,4V6T,11V2C,11V3C,11V3T,11V6C,11V6T,13V2C,13V2T,13V3C,13V3T,13V6C,13V6T,14V3C,14V3T,14V6C,14V6T,15V3C,15V3T,15V6C,15V6T
5.4.99.19,1,210,40,23,120,50,96,39,71,6,5,47,51,11,11,18,41,95,53,27,9,41,0,48,11,12,103
1.1.1.40,2303,10307,1042,2990,22,1240,2913,2239,3037,2115,1445,1388,2774,738,1239,631,1190,3345,1234,1249,708,990,586,1054,479,964,1673
1.15.1.1,3807,14305,2051,9138,323,8337,9057,6679,6339,2252,8556,7609,5732,2314,5740,3707,13299,5854,5723,1746,1218,1728,1451,2863,1540,3626,4687
2.6.1.2,480,2525,371,1162,470,4250,2304,1486,912,618,1273,924,318,615,398,809,991,1116,332,386,269,331,273,664,281,468,405
4.3.1.17,1722,4502,832,3006,633,2422,8722,2133,1714,843,1192,2093,1256,341,562,688,2098,1766,1316,1186,811,1003,691,1683,476,1426,1527
3.5.1.1,1519,4557,1666,2959,146,3369,3287,2047,2132,688,900,1320,1508,924,1328,2115,3359,4570,3688,2714,402,1935,481,1932,599,1015,1526
2.1.1.-,22277,52155,13247,48813,2596,49666,38429,34465,25405,11350,26400,15530,26957,12008,41266,16489,54561,25475,26575,16781,12236,17512,13360,12782,19376,14437,26648
5.2.1.8,12388,36203,11531,30907,1467,21393,21455,18636,14396,7430,15631,8889,16920,12298,28640,15117,53985,17749,16485,9081,37000,8583,13138,8969,7334,14759,15997
2.7.-.-,3625,5081,1542,5559,616,6490,5976,6118,3737,2139,2308,3286,2239,1549,5048,2109,7402,4071,5144,2562,1640,2378,1711,2339,1275,2662,4223
3.6.3.-,41564,46329,25369,67194,3531,82190,52686,57034,34867,15976,40273,35043,45260,15659,67694,26944,106719,38624,53640,22981,15284,27170,10416,19963,11992,20248,38417
2.1.1.72,8732,9827,5754,8794,1302,11443,6920,6628,3357,3099,3112,3939,3796,1206,2858,1746,5636,5969,4434,3156,1680,3087,2035,3545,1388,3424,7090
3.1.21.3,2177,6890,1581,4725,135,4008,5449,3898,2420,1428,1453,2970,1495,749,1683,1169,5568,2700,2502,1908,1529,1557,1689,2188,1159,1469,3327
3.4.-.-,32804,94832,14115,77067,3680,60007,60677,48139,28365,14592,22835,35131,19089,12277,47573,18861,51968,40984,35446,19871,12617,15974,9395,14360,12656,21910,35099
2.4.2.8,3488,5801,1911,6854,2874,9431,7121,5880,3846,2400,3443,2102,1417,1855,6722,1554,4338,3366,5369,1684,1357,1607,1235,1187,828,2819,4473
